Vdd [mv], Temp [C], 	Leakage [mA], Leakage [mW], peak Current [mA], peakPwr [mW], rDelay [ps], rEnergy [pJ], rNull [ps], rnullEnergy [pJ], wDelay [ps], Wenergy [pJ], Wnull [ps], WnullEnergy [pJ]
375,		30,		0.221203,			0.082951,	1.45065,			0.543995,		733,	0.129205,		711,	0.0955687,		733,	0.129205,		711,	0.0955687
400,		30,		0.243048,			0.0972192,	1.78543,			0.714172,		627,	0.140294,		610,	0.101791,		627,	0.140294,		610,	0.101791
450,		30,		0.29257,			0.131657,	2.48947,			1.12026,		488,	0.155387,		479,	0.118636,		488,	0.155387,		479,	0.118636
500,		30,		0.350887,			0.175443,	3.37974,			1.68987,		408,	0.20662,		400,	0.143008,		408,	0.20662,		400,	0.143008
550,		30,		0.419327,			0.23063,	4.27726,			2.35249,		353,	0.233213,		349,	0.1727,			353,	0.233213,		349,	0.1727
650,		30,		0.59272,			0.385268,	6.88851,			4.47753,		289,	0.344402,		288,	0.254997,		289,	0.344402,		288,	0.254997
850,		30,		1.14824,			0.976005,	11.5531,			9.82015,		231,	0.689887,		234,	0.526787,		231,	0.689887,		234,	0.526787
1000,		30,		1.91894,			1.91894,	17.332,				17.332,			211,	1.10912,		215,	0.871376,		211,	1.10912,		215,	0.871376
1250,		30,		140.594,			175.743,	219.757,			274.696,		176,	31.6825,		184,	32.6049,		176,	31.6825,		184,	32.6049

375,		60,		0.613139,			0.229927,	1.95415,			0.732806,		595,	0.183669,		606,	0.174859,		595,	0.183669,		606,	0.174859
400,		60,		0.667468,			0.266987,	2.33443,			0.933773,		523,	0.197011,		531,	0.182859,		523,	0.197011,		531,	0.182859
450,		60,		0.78834,			0.354753,	3.23435,			1.45546,		426,	0.256205,		431,	0.208628,		426,	0.256205,		431,	0.208628
500,		60,		0.92728,			0.46364,	4.08479,			2.0424,			363,	0.276459,		368,	0.242158,		363,	0.276459,		368,	0.242158
550,		60,		1.08652,			0.597584,	5.11371,			2.81254,		322,	0.333011,		326,	0.285933,		322,	0.333011,		326,	0.285933
650,		60,		1.47598,			0.959389,	8.82712,			5.73763,		272,	0.526838,		275,	0.407065,		272,	0.526838,		275,	0.407065
850,		60,		2.65199,			2.25419,	15.0069,			12.7559,		223,	1.02832,		228,	0.808084,		223,	1.02832,		228,	0.808084
1000,		60,		4.13614,			4.13614,	21.1199,			21.1199,		204,	1.50656,		211,	1.3078,			204,	1.50656,		211,	1.3078
1250,		60,		181.352,			226.69,		465.862,			582.327,		167,	38.4828,		181,	41.1909,		167,	38.4828,		181,	41.1909

375,		90,		1.44443,			0.541661,	2.99168,			1.12188,		503,	0.337293,		533,	0.326669,		503,	0.337293,		533,	0.326669
400,		90,		1.55902,			0.623609,	3.45345,			1.38138,		451,	0.32164,		476,	0.339633,		451,	0.32164,		476,	0.339633
450,		90,		1.8094,				0.814232,	4.42492,			1.99122,		377,	0.368608,		396,	0.37962,		377,	0.368608,		396,	0.37962
500,		90,		2.09081,			1.0454,		5.50278,			2.75139,		330,	0.431913,		345,	0.433568,		330,	0.431913,		345,	0.433568
550,		90,		2.40666,			1.32367,	7.74538,			4.25996,		297,	0.562525,		309,	0.502359,		297,	0.562525,		309,	0.502359
650,		90,		3.15838,			2.05294,	10.6969,			6.95296,		254,	0.707026,		265,	0.685058,		254,	0.707026,		265,	0.685058
850,		90,		5.33362,			4.53358,	18.1113,			15.3946,		214,	1.47744,		223,	1.29364,		214,	1.47744,		223,	1.29364
1000,		90,		8.03701,			8.03701,	24.3596,			24.3596,		198,	2.16096,		208,	2.06831,		198,	2.16096,		208,	2.06831
1250,		90,		224.147,			280.184,	691.754,			864.693,		165,	46.7618,		185,	51.9247,		165,	46.7618,		185,	51.9247
